mort_adulte,age,poids,v021,v106,v190,v024,v501,v130,v463a,v113,v116
0,17.0,0.287546,7.0,0.0,1.0,1.0,1.0,4.0,0.0,97.0,97.0
0,10.0,0.287546,7.0,0.0,1.0,1.0,0.0,4.0,0.0,32.0,31.0
0,22.0,0.287546,7.0,1.0,2.0,1.0,1.0,4.0,0.0,21.0,23.0
0,45.0,0.287546,7.0,0.0,1.0,1.0,1.0,4.0,0.0,21.0,31.0
0,32.0,0.287546,7.0,0.0,1.0,1.0,1.0,4.0,0.0,32.0,31.0
0,28.0,0.287546,7.0,0.0,1.0,1.0,1.0,4.0,0.0,32.0,31.0
0,34.0,0.287546,7.0,0.0,1.0,1.0,3.0,4.0,0.0,43.0,23.0
0,35.0,0.287546,7.0,0.0,1.0,1.0,4.0,4.0,0.0,43.0,23.0
0,28.0,0.287546,7.0,0.0,2.0,1.0,1.0,4.0,0.0,42.0,23.0
0,41.0,0.287546,7.0,0.0,2.0,1.0,1.0,4.0,0.0,42.0,23.0
0,42.0,0.287546,7.0,0.0,2.0,1.0,1.0,4.0,0.0,43.0,43.0
0,13.0,0.287546,7.0,0.0,2.0,1.0,0.0,4.0,0.0,43.0,43.0
0,32.0,0.287546,7.0,0.0,1.0,1.0,1.0,4.0,0.0,43.0,31.0
0,32.0,0.287546,7.0,2.0,1.0,1.0,1.0,2.0,0.0,32.0,23.0
0,35.0,0.287546,7.0,1.0,1.0,1.0,1.0,2.0,0.0,43.0,23.0
0,40.0,0.287546,7.0,0.0,1.0,1.0,1.0,4.0,0.0,21.0,31.0
0,13.0,0.287546,7.0,0.0,1.0,1.0,4.0,4.0,0.0,21.0,31.0
0,26.0,0.287546,7.0,0.0,1.0,1.0,1.0,4.0,0.0,43.0,23.0
0,27.0,0.287546,7.0,0.0,1.0,1.0,1.0,4.0,0.0,43.0,31.0
0,31.0,0.287546,7.0,0.0,1.0,1.0,1.0,4.0,0.0,43.0,31.0
0,35.0,0.287546,7.0,0.0,1.0,1.0,1.0,4.0,0.0,42.0,31.0
0,52.0,1.061319,8.0,2.0,5.0,8.0,3.0,2.0,0.0,97.0,97.0
0,41.0,1.061319,8.0,3.0,5.0,8.0,1.0,2.0,0.0,11.0,12.0
0,50.0,1.061319,8.0,0.0,5.0,8.0,1.0,1.0,0.0,11.0,12.0
0,13.0,1.061319,8.0,2.0,5.0,8.0,0.0,1.0,0.0,11.0,12.0
0,46.0,1.061319,8.0,2.0,5.0,8.0,1.0,1.0,0.0,11.0,12.0
0,19.0,1.061319,8.0,2.0,5.0,8.0,0.0,1.0,0.0,11.0,12.0
0,24.0,1.061319,8.0,2.0,3.0,8.0,0.0,1.0,0.0,13.0,22.0
0,52.0,1.061319,8.0,2.0,4.0,8.0,0.0,1.0,0.0,97.0,97.0
0,24.0,1.061319,8.0,3.0,4.0,8.0,0.0,1.0,0.0,97.0,97.0
0,28.0,1.061319,8.0,2.0,3.0,8.0,1.0,1.0,0.0,13.0,22.0
0,32.0,1.061319,8.0,3.0,4.0,8.0,0.0,3.0,0.0,97.0,97.0
0,56.0,1.061319,8.0,3.0,5.0,8.0,1.0,3.0,0.0,12.0,22.0
0,55.0,1.061319,8.0,2.0,5.0,8.0,1.0,1.0,0.0,11.0,12.0
0,31.0,1.061319,8.0,3.0,4.0,8.0,5.0,1.0,0.0,13.0,22.0
0,31.0,1.061319,8.0,2.0,4.0,8.0,0.0,3.0,0.0,13.0,22.0
0,42.0,1.061319,8.0,1.0,5.0,8.0,0.0,1.0,0.0,14.0,12.0
0,32.0,0.316112,10.0,0.0,1.0,5.0,1.0,1.0,0.0,32.0,23.0
0,31.0,0.316112,10.0,0.0,1.0,5.0,1.0,1.0,0.0,32.0,23.0
0,40.0,0.316112,10.0,0.0,1.0,5.0,1.0,1.0,0.0,21.0,31.0
1,42.0,0.316112,10.0,0.0,1.0,5.0,1.0,1.0,0.0,32.0,23.0
0,18.0,0.316112,10.0,1.0,1.0,5.0,0.0,1.0,0.0,32.0,23.0
0,28.0,0.316112,10.0,1.0,1.0,5.0,1.0,1.0,0.0,32.0,23.0
0,24.0,0.316112,10.0,0.0,2.0,5.0,1.0,1.0,0.0,21.0,22.0
0,14.0,0.316112,10.0,1.0,1.0,5.0,0.0,1.0,0.0,32.0,23.0
0,32.0,0.316112,10.0,1.0,1.0,5.0,1.0,1.0,0.0,32.0,23.0
0,35.0,0.316112,10.0,2.0,2.0,5.0,1.0,1.0,0.0,32.0,23.0
0,48.0,0.316112,10.0,1.0,2.0,5.0,1.0,1.0,0.0,21.0,22.0
0,34.0,0.316112,10.0,0.0,1.0,5.0,3.0,1.0,0.0,21.0,23.0
0,32.0,0.316112,10.0,2.0,2.0,5.0,1.0,2.0,0.0,21.0,31.0
0,28.0,0.316112,10.0,2.0,2.0,5.0,1.0,2.0,0.0,31.0,22.0
0,42.0,0.316112,10.0,0.0,1.0,5.0,1.0,1.0,0.0,42.0,23.0
0,40.0,0.316112,10.0,2.0,1.0,5.0,0.0,2.0,0.0,32.0,22.0
0,40.0,0.316112,10.0,2.0,1.0,5.0,0.0,2.0,0.0,32.0,22.0
0,34.0,0.316112,10.0,1.0,1.0,5.0,1.0,2.0,0.0,21.0,23.0
0,36.0,0.316112,10.0,0.0,1.0,5.0,1.0,5.0,0.0,32.0,22.0
0,20.0,0.316112,10.0,1.0,1.0,5.0,0.0,1.0,0.0,32.0,22.0
0,45.0,0.316112,10.0,2.0,3.0,5.0,1.0,2.0,0.0,12.0,22.0
0,45.0,0.316112,10.0,2.0,3.0,5.0,0.0,2.0,0.0,12.0,22.0
0,45.0,0.316112,10.0,2.0,3.0,5.0,0.0,1.0,0.0,12.0,22.0
0,27.0,0.316112,10.0,1.0,1.0,5.0,1.0,1.0,0.0,21.0,23.0
0,26.0,0.316112,10.0,1.0,2.0,5.0,1.0,1.0,0.0,32.0,22.0
0,16.0,0.662963,11.0,2.0,5.0,6.0,0.0,3.0,0.0,21.0,11.0
0,23.0,0.662963,11.0,2.0,3.0,6.0,0.0,2.0,0.0,21.0,22.0
0,70.0,0.662963,11.0,1.0,5.0,6.0,1.0,2.0,0.0,21.0,22.0
1,28.0,0.662963,11.0,2.0,5.0,6.0,2.0,1.0,0.0,21.0,22.0
0,50.0,0.662963,11.0,1.0,5.0,6.0,1.0,2.0,0.0,12.0,22.0
0,35.0,0.662963,11.0,2.0,5.0,6.0,5.0,2.0,0.0,12.0,22.0
0,35.0,0.662963,11.0,3.0,5.0,6.0,0.0,2.0,0.0,12.0,22.0
0,54.0,0.662963,11.0,1.0,5.0,6.0,1.0,1.0,0.0,21.0,13.0
0,35.0,0.662963,11.0,1.0,5.0,6.0,1.0,1.0,0.0,21.0,13.0
0,52.0,0.662963,11.0,2.0,5.0,6.0,1.0,2.0,0.0,14.0,22.0
0,27.0,0.662963,11.0,2.0,5.0,6.0,0.0,2.0,0.0,14.0,22.0
0,27.0,0.662963,11.0,2.0,5.0,6.0,0.0,2.0,0.0,14.0,22.0
0,34.0,0.662963,11.0,2.0,4.0,6.0,2.0,1.0,0.0,21.0,22.0
0,26.0,0.662963,11.0,2.0,4.0,6.0,2.0,1.0,0.0,21.0,22.0
0,60.0,0.662963,11.0,2.0,4.0,6.0,1.0,1.0,0.0,32.0,22.0
0,30.0,0.662963,11.0,2.0,4.0,6.0,1.0,1.0,0.0,32.0,22.0
0,30.0,0.662963,11.0,2.0,4.0,6.0,2.0,2.0,0.0,32.0,22.0
0,38.0,0.662963,11.0,3.0,4.0,6.0,1.0,2.0,0.0,32.0,22.0
0,17.0,0.662963,11.0,2.0,4.0,6.0,0.0,1.0,0.0,32.0,22.0
0,54.0,0.662963,11.0,2.0,4.0,6.0,1.0,2.0,0.0,21.0,22.0
0,31.0,0.662963,11.0,1.0,4.0,6.0,0.0,2.0,0.0,21.0,22.0
0,25.0,0.662963,11.0,2.0,4.0,6.0,0.0,1.0,0.0,14.0,41.0
0,15.0,0.662963,11.0,2.0,4.0,6.0,0.0,1.0,0.0,14.0,41.0
0,61.0,0.662963,11.0,2.0,5.0,6.0,0.0,1.0,0.0,21.0,21.0
0,49.0,0.662963,11.0,2.0,4.0,6.0,1.0,2.0,0.0,21.0,12.0
0,30.0,0.662963,11.0,2.0,4.0,6.0,0.0,2.0,0.0,21.0,12.0
0,28.0,0.662963,11.0,1.0,4.0,6.0,2.0,7.0,0.0,21.0,11.0
0,24.0,0.662963,11.0,2.0,3.0,6.0,0.0,2.0,0.0,21.0,23.0
0,32.0,0.662963,11.0,1.0,3.0,6.0,0.0,2.0,0.0,21.0,23.0
0,46.0,0.662963,11.0,1.0,2.0,6.0,1.0,2.0,0.0,21.0,43.0
0,37.0,0.662963,11.0,2.0,2.0,6.0,2.0,1.0,0.0,21.0,43.0
0,41.0,0.662963,11.0,2.0,3.0,6.0,1.0,2.0,0.0,21.0,41.0
0,51.0,0.662963,11.0,2.0,4.0,6.0,1.0,3.0,0.0,21.0,22.0
1,32.0,0.662963,11.0,1.0,4.0,6.0,0.0,3.0,0.0,21.0,22.0
1,32.0,0.662963,11.0,2.0,4.0,6.0,0.0,3.0,0.0,21.0,22.0
0,35.0,0.662963,11.0,2.0,3.0,6.0,2.0,2.0,0.0,14.0,23.0
0,35.0,0.662963,11.0,2.0,3.0,6.0,0.0,1.0,0.0,14.0,23.0
0,45.0,1.195133,12.0,2.0,5.0,3.0,1.0,3.0,0.0,11.0,12.0
0,21.0,1.195133,12.0,3.0,5.0,3.0,2.0,1.0,0.0,12.0,12.0
0,28.0,1.195133,12.0,2.0,5.0,3.0,0.0,1.0,0.0,11.0,12.0
0,29.0,1.195133,12.0,3.0,5.0,3.0,1.0,1.0,0.0,11.0,12.0
0,44.0,1.195133,12.0,2.0,5.0,3.0,1.0,3.0,0.0,11.0,11.0
0,36.0,1.195133,12.0,3.0,5.0,3.0,1.0,2.0,0.0,21.0,13.0
0,18.0,1.195133,12.0,1.0,5.0,3.0,0.0,2.0,0.0,21.0,13.0
0,36.0,1.195133,12.0,2.0,5.0,3.0,5.0,1.0,0.0,11.0,12.0
0,30.0,1.195133,12.0,3.0,5.0,3.0,2.0,7.0,0.0,11.0,12.0
0,28.0,1.195133,12.0,2.0,5.0,3.0,0.0,2.0,0.0,11.0,12.0
0,38.0,1.195133,12.0,2.0,5.0,3.0,2.0,1.0,0.0,21.0,12.0
0,30.0,1.195133,12.0,3.0,5.0,3.0,2.0,2.0,0.0,11.0,11.0
0,49.0,1.195133,12.0,3.0,5.0,3.0,1.0,1.0,0.0,11.0,12.0
0,37.0,1.195133,12.0,1.0,5.0,3.0,1.0,1.0,0.0,12.0,12.0
0,11.0,1.195133,12.0,2.0,5.0,3.0,2.0,4.0,0.0,12.0,12.0
0,35.0,0.327058,13.0,1.0,3.0,10.0,0.0,4.0,0.0,12.0,23.0
0,29.0,0.327058,13.0,2.0,4.0,10.0,1.0,2.0,0.0,21.0,22.0
0,9.0,0.327058,13.0,1.0,5.0,10.0,0.0,4.0,0.0,21.0,12.0
0,31.0,0.327058,13.0,1.0,4.0,10.0,2.0,4.0,0.0,14.0,23.0
0,32.0,0.327058,13.0,1.0,4.0,10.0,0.0,4.0,0.0,14.0,12.0
0,32.0,0.327058,13.0,1.0,4.0,10.0,0.0,4.0,0.0,14.0,12.0
0,32.0,0.327058,13.0,1.0,4.0,10.0,0.0,4.0,0.0,14.0,12.0
0,40.0,0.327058,13.0,1.0,4.0,10.0,1.0,4.0,0.0,21.0,22.0
0,58.0,0.327058,13.0,1.0,5.0,10.0,1.0,4.0,0.0,12.0,12.0
0,12.0,0.327058,13.0,0.0,5.0,10.0,0.0,4.0,0.0,12.0,12.0
0,25.0,0.327058,13.0,1.0,5.0,10.0,2.0,4.0,0.0,12.0,12.0
